Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369999004477,Seabounty Fresh Blue Mussels | 1 KG,coles,24055,5145758,NSW,,800,,800,1kg,https://www.coles.com.au/product/seabounty-fresh-blue-mussels-1-kg-5145758,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5145758.jpg&w=640&q=90
9323946000707,Coles Tuscan Kale | 1 each,coles,22393,6584243,NSW,,470,,470,1each,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6584243.jpg&w=640&q=90
9323946000707,Coles Tuscan Kale | 1 each,coles,22393,6584243,VIC,470,470,470,470,1each,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6584243.jpg&w=640&q=90
9323946000707,Coles Tuscan Kale | 1 each,coles,22393,6584243,TAS,450,450,450,450,1each,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6584243.jpg&w=640&q=90
9323946000707,Coles Tuscan Kale | 1 each,coles,22393,6584243,ACT,400,400,400,400,1each,https://www.coles.com.au/product/coles-tuscan-kale-1-each-6584243,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6584243.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,NSW,,700,,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,VIC,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,QLD,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,SA,790,790,395,395,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9318085022413,Coles Kestrel Potatoes Prepacked | 2kg,coles,22389,2743866,ACT,700,700,350,350,2kg,https://www.coles.com.au/product/coles-kestrel-potatoes-prepacked-2kg-2743866,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2743866.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,NSW,,500,,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,VIC,500,500,1000,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,QLD,500,500,1000,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,SA,500,500,1000,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,TAS,500,500,1000,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,ACT,500,500,1000,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
9310645203393,Coles Kitchen Australian Diced Butternut Pumpkin | 500g,coles,22390,2859066,NT,500,500,1000,1000,500g,https://www.coles.com.au/product/coles-kitchen-australian-diced-butternut-pumpkin-500g-2859066,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2859066.jpg&w=640&q=90
