barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,VIC,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,NSW,600,600,1500,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,QLD,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,WA,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,SA,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,TAS,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,ACT,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645261164,Coles Sweet Chilli And Lime Soy Crisps | 400g,coles,22781,3505444,NT,,600,,1500,400g,https://www.coles.com.au/product/coles-sweet-chilli-and-lime-soy-crisps-400g-3505444,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3505444.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,VIC,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,NSW,900,900,2250,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,QLD,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,WA,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,SA,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,TAS,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,ACT,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
9310645436753,Coles Honey Cashews | 400g,coles,22781,7381490,NT,,900,,2250,400g,https://www.coles.com.au/product/coles-honey-cashews-400g-7381490,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7381490.jpg&w=640&q=90
