Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9310645269931,Coles Fresh. Pink Ling Fillet | approx 1kg,coles,22761,1024423,NSW,,4000,,4000,1kg,https://www.coles.com.au/product/coles-fresh.-pink-ling-fillet-approx-1kg-1024423,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1024423.jpg&w=640&q=90
9369999004477,Seabounty Fresh Blue Mussels | 1 KG,coles,24055,5145758,NSW,,1100,,1100,1kg,https://www.coles.com.au/product/seabounty-fresh-blue-mussels-1-kg-5145758,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5145758.jpg&w=640&q=90
8719326231747,Vinada Tinteling Rose 750ml | 1 Each,coles,22214,4500956,NSW,2400,2500,3200,3333,1each,https://www.coles.com.au/product/vinada-tinteling-rose-750ml-1-each-4500956,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4500956.jpg&w=640&q=90
9311890249464,Kirin Ichiban Bottle 330mL | 6 Pack,coles,22214,4443852,NSW,2200,2100,1111,1061,6pack,https://www.coles.com.au/product/kirin-ichiban-bottle-330ml-6-pack-4443852,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4443852.jpg&w=640&q=90
8008440001054,Peroni Red Imported Bottle 330mL | 24 Pack,coles,22214,2445212,NSW,6300,6100,795,770,24pack,https://www.coles.com.au/product/peroni-red-imported-bottle-330ml-24-pack-2445212,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2445212.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,VIC,91,98,490,490,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,NSW,139,150,750,750,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,QLD,139,150,750,750,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,WA,109,118,590,590,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,SA,91,98,490,490,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,TAS,91,98,490,490,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
9369998426171,Coles Bravo Apples | approx. 200g,coles,22353,5899410,ACT,139,150,750,750,200g,https://www.coles.com.au/product/coles-bravo-apples-approx.-200g-5899410,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5899410.jpg&w=640&q=90
