Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9300633989668,Woolworths Cup Cake Mini Iced 9 pack,Woolworths,22076,320381,NSW,550,620,61,69,9 pack,https://www.woolworths.com.au/shop/productdetails/320381/woolworths-cup-cake-mini-iced,https://cdn0.woolworths.media/content/wowproductimages/large/320381.jpg
9300633645311,Woolworths Mini Iced Cupcakes With Sprinkles 24 pack,Woolworths,22076,360222,NSW,1200,1340,50,56,24 pack,https://www.woolworths.com.au/shop/productdetails/360222/woolworths-mini-iced-cupcakes-with-sprinkles,https://cdn0.woolworths.media/content/wowproductimages/large/360222.jpg
9309001863265,Your Dairy Co Vanilla Custard 1kg,Woolworths,22105,6010468,NSW,,280,,28,1kg,https://www.woolworths.com.au/shop/productdetails/6010468/your-dairy-co-vanilla-custard,https://cdn0.woolworths.media/content/wowproductimages/large/6010468.jpg
9312726002888,Willow Farm Hommus Dip 1kg,Woolworths,22109,840657,NSW,,650,,65,1kg,https://www.woolworths.com.au/shop/productdetails/840657/willow-farm-hommus-dip,https://cdn0.woolworths.media/content/wowproductimages/large/840657.jpg
9300633963583,Woolworths Full Cream Milk 1l,Woolworths,22134,50923,NSW,155,165,155,165,1L,https://www.woolworths.com.au/shop/productdetails/50923/woolworths-full-cream-milk,https://cdn0.woolworths.media/content/wowproductimages/large/050923.jpg
9300633556143,Woolworths Full Cream Milk 2l,Woolworths,22134,888137,NSW,300,320,150,160,2L,https://www.woolworths.com.au/shop/productdetails/888137/woolworths-full-cream-milk,https://cdn0.woolworths.media/content/wowproductimages/large/888137.jpg
9300633556181,Woolworths Lite Milk 2l,Woolworths,22138,888139,NSW,300,320,150,160,2L,https://www.woolworths.com.au/shop/productdetails/888139/woolworths-lite-milk,https://cdn0.woolworths.media/content/wowproductimages/large/888139.jpg
9348470001129,J*st Milk Oat 1L,Woolworths,22139,269103,NSW,,330,,330,1L,https://www.woolworths.com.au/shop/productdetails/269103/j-st-milk-oat,https://cdn0.woolworths.media/content/wowproductimages/large/269103.jpg
9300633765712,Woolworths Skim Long Life Milk Powder UHT 1kg,Woolworths,23840,789358,NSW,1000,1050,1000,1050,1kg,https://www.woolworths.com.au/shop/productdetails/789358/woolworths-skim-long-life-milk-powder-uht,https://cdn0.woolworths.media/content/wowproductimages/large/789358.jpg
9300633582449,Woolworths Frozen Basa Fillets 1kg,Woolworths,22323,445352,NSW,800,800,800,800,1Kg,https://www.woolworths.com.au/shop/productdetails/445352/woolworths-frozen-basa-fillets,https://cdn0.woolworths.media/content/wowproductimages/large/445352.jpg
9300633582449,Woolworths Frozen Basa Fillets 1kg,Woolworths,22323,445352,VIC,800,800,800,800,1Kg,https://www.woolworths.com.au/shop/productdetails/445352/woolworths-frozen-basa-fillets,https://cdn0.woolworths.media/content/wowproductimages/large/445352.jpg
9300633582449,Woolworths Frozen Basa Fillets 1kg,Woolworths,22323,445352,QLD,800,800,800,800,1Kg,https://www.woolworths.com.au/shop/productdetails/445352/woolworths-frozen-basa-fillets,https://cdn0.woolworths.media/content/wowproductimages/large/445352.jpg
