barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
5060040257890,Kiddylicious Coconut Rolls 8x6.8g | 54.4g,coles,22025,3018910,NSW,630,440,1158,809,54.4g,https://www.coles.com.au/product/kiddylicious-coconut-rolls-8x6.8g-54.4g-3018910,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3018910.jpg&w=640&q=90
7322540839920,Tena Plus Night Pan ... 12 pack,coles,24064,3035930,NSW,1750,2500,146,208,12pack,https://www.coles.com.au/product/tena-plus-night-pants-incontinence-size-large-12-pack-3035930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3035930.jpg&w=640&q=90
7612367050388,Medela Breast Milk Storage Bags | 25 pack,coles,23823,3176604,NSW,2250,1800,90,72,25pack,https://www.coles.com.au/product/medela-breast-milk-storage-bags-25-pack-3176604,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3176604.jpg&w=640&q=90
9403145304698,Only Organic Pumpkin Potato & Beef Baby Food 8+ Months | 170g,coles,22026,3288787,NSW,250,315,147,185,170g,https://www.coles.com.au/product/only-organic-pumpkin-potato-and-beef-baby-food-8+-months-170g-3288787,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3288787.jpg&w=640&q=90
9403145304667,Only Organic Free Range Chicken Bolognese 10+ Months | 170g,coles,22026,3288812,NSW,250,315,147,185,170g,https://www.coles.com.au/product/only-organic-free-range-chicken-bolognese-10+-months-170g-3288812,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3288812.jpg&w=640&q=90
9403145304650,Only Organic Free Range Chicken Mango & Coconut Rice 10+ Months | 170g,coles,22026,3288834,NSW,250,315,147,185,170g,https://www.coles.com.au/product/only-organic-free-range-chicken-mango-and-coconut-rice-10+-months-170g-3288834,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3288834.jpg&w=640&q=90
5060040256411,Kiddylicious Gluten Free Strawberry & Banana Smoothie Melts | 6g,coles,22025,3292718,NSW,175,220,2917,3667,6g,https://www.coles.com.au/product/kiddylicious-gluten-free-strawberry-and-banana-smoothie-melts-6g-3292718,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3292718.jpg&w=640&q=90
9349942000084,Oli6 Stage 3 Goat Milk Toddler Drink 1-3 Years | 800g,coles,23830,3469384,NSW,3350,3950,419,494,800g,https://www.coles.com.au/product/oli6-stage-3-goat-milk-toddler-drink-1-3-years-800g-3469384,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3469384.jpg&w=640&q=90
9403145304766,Only Organic Sweet Potato Lamb & Couscous Baby Food Pouch 10+ Months | 170g,coles,22026,3499771,NSW,250,315,147,185,170g,https://www.coles.com.au/product/only-organic-sweet-potato-lamb-and-couscous-baby-food-pouch-10+-months-170g-3499771,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3499771.jpg&w=640&q=90
9403145304773,Only Organic Baby Food Mango Coconut And Quinoa | 120g,coles,22026,3499782,NSW,180,230,150,192,120g,https://www.coles.com.au/product/only-organic-baby-food-mango-coconut-and-quinoa-120g-3499782,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3499782.jpg&w=640&q=90
