barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9421027313064,Naturely Nourish Baby Bedtime Bath 275mL,Woolworths,23821,4214,NSW,1000,600,364,218,275mL,https://www.woolworths.com.au/shop/productdetails/4214/naturely-nourish-baby-bedtime-bath,https://cdn0.woolworths.media/content/wowproductimages/large/004214.jpg
53996671,Sudocrem Nappy Rash Cream Tube 30g,Woolworths,23821,341157,NSW,865,690,2883,2300,30g,https://www.woolworths.com.au/shop/productdetails/341157/sudocrem-nappy-rash-cream-tube,https://cdn0.woolworths.media/content/wowproductimages/large/341157.jpg
9300657231767,Heinz Little Kids Yoghurt Muesli Fingers Baby Food 1-3 Years 90g,Woolworths,22020,227154,NSW,400,300,444,333,90g,https://www.woolworths.com.au/shop/productdetails/227154/heinz-little-kids-yoghurt-muesli-fingers-baby-food-1-3-years,https://cdn0.woolworths.media/content/wowproductimages/large/227154.jpg
9403145304667,Only Organic Chicken Bolognese 170g,Woolworths,22020,681967,NSW,250,315,147,185,170g,https://www.woolworths.com.au/shop/productdetails/681967/only-organic-chicken-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/681967.jpg
9403145304681,Only Organic Pasta Bolognese 170g,Woolworths,22020,660268,NSW,250,315,147,185,170g,https://www.woolworths.com.au/shop/productdetails/660268/only-organic-pasta-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/660268.jpg
9332045001874,Bellamy's Organic Organic Baby Rice With Prebiotic 4+ Months 125g,Woolworths,22021,791640,NSW,440,375,352,300,125g,https://www.woolworths.com.au/shop/productdetails/791640/bellamy-s-organic-organic-baby-rice-with-prebiotic-4-months,https://cdn0.woolworths.media/content/wowproductimages/large/791640.jpg
9403145302779,Only Organic 8 Months+ Banana Raspberry & Vanilla 120g,Woolworths,22022,333290,NSW,180,230,150,192,120g,https://www.woolworths.com.au/shop/productdetails/333290/only-organic-8-months-banana-raspberry-vanilla,https://cdn0.woolworths.media/content/wowproductimages/large/333290.jpg
9403145303202,Only Organic 8 Months+ Mango & Yoghurt Brekkie 120g,Woolworths,22022,372450,NSW,180,230,150,192,120g,https://www.woolworths.com.au/shop/productdetails/372450/only-organic-8-months-mango-yoghurt-brekkie,https://cdn0.woolworths.media/content/wowproductimages/large/372450.jpg
9337824003384,Little Bellies Organic Apricot Date & Oat Bar 5 Pack,Woolworths,22025,176458,NSW,395,465,465,547,5 pack,https://www.woolworths.com.au/shop/productdetails/176458/little-bellies-organic-apricot-date-oat-bar,https://cdn0.woolworths.media/content/wowproductimages/large/176458.jpg
9337824003377,Little Bellies Organic Banana Date & Oat Bar 5 Pack,Woolworths,22025,176501,NSW,395,465,465,547,5 pack,https://www.woolworths.com.au/shop/productdetails/176501/little-bellies-organic-banana-date-oat-bar,https://cdn0.woolworths.media/content/wowproductimages/large/176501.jpg
