Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9355449000571,Bunjie Baby Gentle Shampoo 500mL,Woolworths,23821,6022170,NSW,1200,2000,240,400,500mL,https://www.woolworths.com.au/shop/productdetails/6022170/bunjie-baby-gentle-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/6022170.jpg
9355449000311,Bunjie Baby Nappy & Barrier Cream 250g,Woolworths,23821,6024268,NSW,1500,2500,600,1000,250g,https://www.woolworths.com.au/shop/productdetails/6024268/bunjie-baby-nappy-barrier-cream,https://cdn0.woolworths.media/content/wowproductimages/large/6024268.jpg
9337824003360,Little Bellies Organic Berry & Apple Softcorn 30g,Woolworths,22025,175720,NSW,475,380,1583,1267,30g,https://www.woolworths.com.au/shop/productdetails/175720/little-bellies-organic-berry-apple-softcorn,https://cdn0.woolworths.media/content/wowproductimages/large/175720.jpg
9340156037637,Rafferty's Garden Happy Tummies Apple & Strawberry Puffed Rice Bars 6 pack,Woolworths,22025,6022248,NSW,480,550,667,764,6 pack,https://www.woolworths.com.au/shop/productdetails/6022248/rafferty-s-garden-happy-tummies-apple-strawberry-puffed-rice-bars,https://cdn0.woolworths.media/content/wowproductimages/large/6022248.jpg
9340156037644,Rafferty's Garden Happy Tummies Blueberry Puffed Rice Bars 6 pack,Woolworths,22025,6022776,NSW,480,550,667,764,6 pack,https://www.woolworths.com.au/shop/productdetails/6022776/rafferty-s-garden-happy-tummies-blueberry-puffed-rice-bars,https://cdn0.woolworths.media/content/wowproductimages/large/6022776.jpg
9340156040897,Rafferty's Garden Smiley Puffs Banana 30g,Woolworths,22025,6023799,NSW,400,250,1333,833,30g,https://www.woolworths.com.au/shop/productdetails/6023799/rafferty-s-garden-smiley-puffs-banana,https://cdn0.woolworths.media/content/wowproductimages/large/6023799.jpg
9349763001475,Snacktacular Build An Animal Biscuits 2 pack,Woolworths,22025,6024900,NSW,400,500,400,500,2 pack,https://www.woolworths.com.au/shop/productdetails/6024900/snacktacular-build-an-animal-biscuits,https://cdn0.woolworths.media/content/wowproductimages/large/6024900.jpg
9312818004455,Babylove Cosifit Nappies Size 4 (9-14kg) 34 Pack,Woolworths,22049,52175,NSW,1200,1600,35,47,34 pack,https://www.woolworths.com.au/shop/productdetails/52175/babylove-cosifit-nappies-size-4-9-14kg-,https://cdn0.woolworths.media/content/wowproductimages/large/052175.jpg
4895248004837,Millie Moon Luxury Nappies Size 4 Toddler 10-15kg 36 pack,Woolworths,22049,6007811,NSW,1850,925,51,26,36 pack,https://www.woolworths.com.au/shop/productdetails/6007811/millie-moon-luxury-nappies-size-4-toddler-10-15kg,https://cdn0.woolworths.media/content/wowproductimages/large/6007811.jpg
9312818004301,Babylove Cosifit Nappies Size 5 (12-17kg) 28 Pack,Woolworths,22050,52174,NSW,1200,1600,43,57,28 pack,https://www.woolworths.com.au/shop/productdetails/52174/babylove-cosifit-nappies-size-5-12-17kg-,https://cdn0.woolworths.media/content/wowproductimages/large/052174.jpg
9312818004332,Babylove Cosifit Nappies Size 6 (15-25kg) 26 Pack,Woolworths,22050,52172,NSW,1200,1600,46,62,26 pack,https://www.woolworths.com.au/shop/productdetails/52172/babylove-cosifit-nappies-size-6-15-25kg-,https://cdn0.woolworths.media/content/wowproductimages/large/052172.jpg
4895248004844,Millie Moon Luxury Nappies Size 5 Walker 13-18kg 32 pack,Woolworths,22050,6007782,NSW,1850,925,58,29,32 pack,https://www.woolworths.com.au/shop/productdetails/6007782/millie-moon-luxury-nappies-size-5-walker-13-18kg,https://cdn0.woolworths.media/content/wowproductimages/large/6007782.jpg
4895248004851,Millie Moon Luxury Nappies Size 6 Junior 15-20kg 30 pack,Woolworths,22050,6007815,NSW,1850,925,62,31,30 pack,https://www.woolworths.com.au/shop/productdetails/6007815/millie-moon-luxury-nappies-size-6-junior-15-20kg,https://cdn0.woolworths.media/content/wowproductimages/large/6007815.jpg
4895248000006,Millie Moon Luxury Nappies Size 2 Infant 4-8kg 48 pack,Woolworths,22051,6007149,NSW,1850,925,39,19,48 pack,https://www.woolworths.com.au/shop/productdetails/6007149/millie-moon-luxury-nappies-size-2-infant-4-8kg,https://cdn0.woolworths.media/content/wowproductimages/large/6007149.jpg
9312818004424,Babylove Cosifit Nappies Size 3 (6-11kg) 40 Pack,Woolworths,22052,52177,NSW,1200,1600,30,40,40 pack,https://www.woolworths.com.au/shop/productdetails/52177/babylove-cosifit-nappies-size-3-6-11kg-,https://cdn0.woolworths.media/content/wowproductimages/large/052177.jpg
4895248004868,Millie Moon Luxury Nappies Size 3 Crawler 6-11kg 44 pack,Woolworths,22052,6007148,NSW,1850,925,42,21,44 pack,https://www.woolworths.com.au/shop/productdetails/6007148/millie-moon-luxury-nappies-size-3-crawler-6-11kg,https://cdn0.woolworths.media/content/wowproductimages/large/6007148.jpg
4895248006411,Millie Moon Luxury Nappies Size 1 Newborn 3-5kg 54 pack,Woolworths,22055,6007813,NSW,1850,925,34,17,54 pack,https://www.woolworths.com.au/shop/productdetails/6007813/millie-moon-luxury-nappies-size-1-newborn-3-5kg,https://cdn0.woolworths.media/content/wowproductimages/large/6007813.jpg
9355449000120,Bunjie Probiotics Baby Eye Wipes 30 pack,Woolworths,22059,301086,NSW,960,1600,32,53,30 pack,https://www.woolworths.com.au/shop/productdetails/301086/bunjie-probiotics-baby-eye-wipes,https://cdn0.woolworths.media/content/wowproductimages/large/301086.jpg
9310088011920,Huggies Thick Baby Wipes Fragrance Free 240 pack,Woolworths,22059,640827,NSW,840,1400,350,583,240 pack,https://www.woolworths.com.au/shop/productdetails/640827/huggies-thick-baby-wipes-fragrance-free,https://cdn0.woolworths.media/content/wowproductimages/large/640827.jpg
0285965000009,Woolworths Mini Cheese and Garlic Scrolls 6 pack,Woolworths,22064,101022,NSW,500,450,83,75,6 pack,https://www.woolworths.com.au/shop/productdetails/101022/woolworths-mini-cheese-and-garlic-scrolls,https://cdn0.woolworths.media/content/wowproductimages/large/101022.jpg
0285964000000,Woolworths Mini Mighty Cheese Scrolls 6 pack,Woolworths,22064,101011,NSW,500,450,83,75,6 pack,https://www.woolworths.com.au/shop/productdetails/101011/woolworths-mini-mighty-cheese-scrolls,https://cdn0.woolworths.media/content/wowproductimages/large/101011.jpg
0285963000001,Woolworths Mini Pizza Scrolls 6 pack,Woolworths,22064,101008,NSW,500,450,83,75,6 pack,https://www.woolworths.com.au/shop/productdetails/101008/woolworths-mini-pizza-scrolls,https://cdn0.woolworths.media/content/wowproductimages/large/101008.jpg
0281955000004,Woolworths Iced Donut 6 pack,Woolworths,22066,405786,NSW,330,380,55,63,6 pack,https://www.woolworths.com.au/shop/productdetails/405786/woolworths-iced-donut,https://cdn0.woolworths.media/content/wowproductimages/large/405786.jpg
0285239000001,Woolworths Butter Croissant 10 pack,Woolworths,22068,66921,NSW,950,850,95,85,10 pack,https://www.woolworths.com.au/shop/productdetails/66921/woolworths-butter-croissant,https://cdn0.woolworths.media/content/wowproductimages/large/066921.jpg
0289930000001,Woolworths Caramel Braid 2 pack,Woolworths,22068,387598,NSW,350,300,175,150,2 pack,https://www.woolworths.com.au/shop/productdetails/387598/woolworths-caramel-braid,https://cdn0.woolworths.media/content/wowproductimages/large/387598.jpg
0289785000003,Woolworths Cheese & Garlic Swirl 2 pack,Woolworths,22068,387599,NSW,350,300,175,150,2 pack,https://www.woolworths.com.au/shop/productdetails/387599/woolworths-cheese-garlic-swirl,https://cdn0.woolworths.media/content/wowproductimages/large/387599.jpg
0289759000008,Woolworths Feta & Spinach Bistro 2 pack,Woolworths,22068,387600,NSW,400,300,200,150,2 pack,https://www.woolworths.com.au/shop/productdetails/387600/woolworths-feta-spinach-bistro,https://cdn0.woolworths.media/content/wowproductimages/large/387600.jpg
0283317000004,Woolworths Ham & Cheese Croissant 2 pack,Woolworths,22068,610474,NSW,400,300,200,150,2 pack,https://www.woolworths.com.au/shop/productdetails/610474/woolworths-ham-cheese-croissant,https://cdn0.woolworths.media/content/wowproductimages/large/610474.jpg
0285286000009,Woolworths Large Croissants 4 pack,Woolworths,22068,66973,NSW,350,400,88,100,4 pack,https://www.woolworths.com.au/shop/productdetails/66973/woolworths-large-croissants,https://cdn0.woolworths.media/content/wowproductimages/large/066973.jpg
0284909000006,Woolworths Mini Chocolate Croissant 8 pack,Woolworths,22068,517746,NSW,400,460,50,58,8 pack,https://www.woolworths.com.au/shop/productdetails/517746/woolworths-mini-chocolate-croissant,https://cdn0.woolworths.media/content/wowproductimages/large/517746.jpg
0283711000006,Woolworths Mini Croissant 8 pack,Woolworths,22068,333359,NSW,400,460,50,58,8 pack,https://www.woolworths.com.au/shop/productdetails/333359/woolworths-mini-croissant,https://cdn0.woolworths.media/content/wowproductimages/large/333359.jpg
0282534000002,Woolworths Mini Feta & Spinach Swirl 8 pack,Woolworths,22068,387754,NSW,400,460,50,58,8 pack,https://www.woolworths.com.au/shop/productdetails/387754/woolworths-mini-feta-spinach-swirl,https://cdn0.woolworths.media/content/wowproductimages/large/387754.jpg
9339687189199,Woolworths Indulgent Chocolate & Caramel Cake 400g,Woolworths,22076,103356,NSW,800,850,200,213,400g,https://www.woolworths.com.au/shop/productdetails/103356/woolworths-indulgent-chocolate-caramel-cake,https://cdn0.woolworths.media/content/wowproductimages/large/103356.jpg
9339687189212,Woolworths Traditional Carrot Cake 450g,Woolworths,22076,103358,NSW,800,850,178,189,450g,https://www.woolworths.com.au/shop/productdetails/103358/woolworths-traditional-carrot-cake,https://cdn0.woolworths.media/content/wowproductimages/large/103358.jpg
9339687189649,Woolworths Vanilla Cake With Biscoff 450g,Woolworths,22076,104629,NSW,800,850,178,189,450g,https://www.woolworths.com.au/shop/productdetails/104629/woolworths-vanilla-cake-with-biscoff,https://cdn0.woolworths.media/content/wowproductimages/large/104629.jpg
9339687189205,Woolworths Zesty Lemon Cake 400g,Woolworths,22076,103357,NSW,800,850,200,213,400g,https://www.woolworths.com.au/shop/productdetails/103357/woolworths-zesty-lemon-cake,https://cdn0.woolworths.media/content/wowproductimages/large/103357.jpg
9350007001571,Toscano Double Choc Mousse Twin 60g x 2 pack,Woolworths,22076,678120,NSW,670,620,558,517,60g x 2 pack,https://www.woolworths.com.au/shop/productdetails/678120/toscano-double-choc-mousse-twin,https://cdn0.woolworths.media/content/wowproductimages/large/678120.jpg
9350007001595,Toscano Tiramisu Twin 60g x 2 pack,Woolworths,22076,678110,NSW,670,620,558,517,60g x 2 pack,https://www.woolworths.com.au/shop/productdetails/678110/toscano-tiramisu-twin,https://cdn0.woolworths.media/content/wowproductimages/large/678110.jpg
