barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,VIC,,118,,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,NSW,70,70,290,290,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,QLD,,118,,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,WA,,166,,690,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,SA,,118,,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,TAS,,118,,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,ACT,,70,,290,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,NT,,118,,490,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,VIC,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,NSW,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,QLD,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,WA,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,SA,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,TAS,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,ACT,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,NT,,500,,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,VIC,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,NSW,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,QLD,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,WA,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,SA,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,TAS,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,ACT,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
9339337003011,Coles Mushrooms Dried Mixed Forest | 20g,coles,22382,1598310,NT,,500,,25000,20g,https://www.coles.com.au/product/coles-mushrooms-dried-mixed-forest-20g-1598310,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1598310.jpg&w=640&q=90
