Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369999042325,Herman Brot Low Carb Bread | 600g,coles,22083,4654122,NSW,690,665,115,111,600g,https://www.coles.com.au/product/herman-brot-low-carb-bread-600g-4654122,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4654122.jpg&w=640&q=90
9356186000107,Herman Brot Complete Protein Bread | 500g,coles,22083,4654133,NSW,700,675,140,135,500g,https://www.coles.com.au/product/herman-brot-complete-protein-bread-500g-4654133,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4654133.jpg&w=640&q=90
9356186000152,Herman Brot Lower Carb Lower Carb High Protein Sourdough Loaf | 550g,coles,22083,5749687,NSW,740,665,135,121,550g,https://www.coles.com.au/product/herman-brot-lower-carb-lower-carb-high-protein-sourdough-loaf-550g-5749687,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5749687.jpg&w=640&q=90
9356186000169,Herman Brot Complete Protein Buns 2 Pack | 120g,coles,22083,5749698,NSW,360,350,300,292,120g,https://www.coles.com.au/product/herman-brot-complete-protein-buns-2-pack-120g-5749698,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5749698.jpg&w=640&q=90
9310645454573,Coles Water 12x600mL | 12 Pack,coles,22233,4661649,NSW,650,560,90,78,12pack,https://www.coles.com.au/product/coles-water-12x600ml-12-pack-4661649,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4661649.jpg&w=640&q=90
9317471200039,Katoomba Garlic Naan 4 Pack | 320g,coles,22300,3785635,NSW,450,500,141,156,320g,https://www.coles.com.au/product/katoomba-garlic-naan-4-pack-320g-3785635,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3785635.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,VIC,520,520,520,520,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,NSW,520,520,520,520,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,WA,,590,,590,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,SA,490,490,490,490,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,ACT,520,520,520,520,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,NT,490,490,490,490,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9341471000917,Coles Organic Purple Baby Broccoli | 1 bunch,coles,23987,8686801,VIC,,490,,490,1bunch,https://www.coles.com.au/product/coles-organic-purple-baby-broccoli-1-bunch-8686801,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8686801.jpg&w=640&q=90
9341471000917,Coles Organic Purple Baby Broccoli | 1 bunch,coles,23987,8686801,QLD,490,490,490,490,1bunch,https://www.coles.com.au/product/coles-organic-purple-baby-broccoli-1-bunch-8686801,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8686801.jpg&w=640&q=90
9341471000917,Coles Organic Purple Baby Broccoli | 1 bunch,coles,23987,8686801,ACT,490,490,490,490,1bunch,https://www.coles.com.au/product/coles-organic-purple-baby-broccoli-1-bunch-8686801,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8686801.jpg&w=640&q=90
