Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9339687220717,Woolworths Jam Filled Lamingtons 6 pack,Woolworths,22060,131482,NSW,395,400,113,114,6 pack,https://www.woolworths.com.au/shop/productdetails/131482/woolworths-jam-filled-lamingtons,https://cdn0.woolworths.media/content/wowproductimages/large/131482.jpg
9339687220694,Woolworths Lamington Fingers 18 pack,Woolworths,22060,131380,NSW,395,380,22,21,18 pack,https://www.woolworths.com.au/shop/productdetails/131380/woolworths-lamington-fingers,https://cdn0.woolworths.media/content/wowproductimages/large/131380.jpg
9339687220700,Woolworths Lamingtons 6 pack,Woolworths,22060,131381,NSW,395,400,132,133,6 pack,https://www.woolworths.com.au/shop/productdetails/131381/woolworths-lamingtons,https://cdn0.woolworths.media/content/wowproductimages/large/131381.jpg
9300633700447,Woolworths Light Thickened Cream 600mL,Woolworths,22089,838738,NSW,470,540,78,90,600mL,https://www.woolworths.com.au/shop/productdetails/838738/woolworths-light-thickened-cream,https://cdn0.woolworths.media/content/wowproductimages/large/838738.jpg
9310560009315,Holland House Caviar Black 50g,Woolworths,22089,164178,NSW,600,600,12000,12000,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9310560009315,Holland House Caviar Black 50g,Woolworths,22089,164178,VIC,600,600,12000,12000,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9310560009315,Holland House Caviar Black 50g,Woolworths,22089,164178,QLD,600,600,12000,12000,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9310560009315,Holland House Caviar Black 50g,Woolworths,22089,164178,WA,600,600,12000,12000,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9310560009315,Holland House Caviar Black 50g,Woolworths,22089,164178,SA,600,600,12000,12000,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
9310560009315,Holland House Caviar Black 50g,Woolworths,22089,164178,TAS,,600,,12000,50g,https://www.woolworths.com.au/shop/productdetails/164178/holland-house-caviar-black,https://cdn0.woolworths.media/content/wowproductimages/large/164178.jpg
