barcode,name,shop,category_id,source_id,weight,source_url,image_url
9340156058922,Rafferty's Garden Baby Food Pouch Chicken Vegetables & Rice 6+ Months 120g,Woolworths,22022,63917,120g,https://www.woolworths.com.au/shop/productdetails/63917/rafferty-s-garden-baby-food-pouch-chicken-vegetables-rice-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/063917.jpg
9340156059028,Rafferty's Garden Chickpea Corn & Carrot Baby Food Pouch 8+ Months | 120g,coles,22022,3620191,120g,https://www.coles.com.au/product/rafferty's-garden-chickpea-corn-and-carrot-baby-food-pouch-8+-months-120g-3620191,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3620191.jpg&w=640&q=90
9340156059028,"Rafferty's Garden Baby Food Pouch Chickpea, Corn & Carrot Protein 8+ Months 120g",Woolworths,22022,63892,120g,https://www.woolworths.com.au/shop/productdetails/63892/rafferty-s-garden-baby-food-pouch-chickpea-corn-carrot-protein-8-months,https://cdn0.woolworths.media/content/wowproductimages/large/063892.jpg
9421901080303,Rafferty's Garden Chocolate Custard 6 Months | 120g,coles,22022,6957420,120g,https://www.coles.com.au/product/rafferty's-garden-chocolate-custard-6-months-120g-6957420,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6957420.jpg&w=640&q=90
9421901080303,Rafferty's Garden Baby Food Pouch Chocolate Custard 6+ Months 120g,Woolworths,22022,315435,120g,https://www.woolworths.com.au/shop/productdetails/315435/rafferty-s-garden-baby-food-pouch-chocolate-custard-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/315435.jpg
9340156085003,Rafferty's Garden Pumpkin & Spinach Pasta Bake Baby Food Prebiotics Pouch 6+ Months | 120g,coles,22022,3766460,120g,https://www.coles.com.au/product/rafferty's-garden-pumpkin-and-spinach-pasta-bake-baby-food-prebiotics-pouch-6+-months-120g-3766460,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3766460.jpg&w=640&q=90
9340156085003,Rafferty's Garden Baby Food Pouch Pumpkin & Spinach Pasta Bake 6+ Months 120g,Woolworths,22022,92211,120g,https://www.woolworths.com.au/shop/productdetails/92211/rafferty-s-garden-baby-food-pouch-pumpkin-spinach-pasta-bake-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/092211.jpg
9421901080082,Rafferty's Garden Risoni Pasta & Garden Vegetables Baby Food Pouch Mini Meal 10+ Months | 170g,coles,22022,6026834,170g,https://www.coles.com.au/product/rafferty's-garden-risoni-pasta-and-garden-vegetables-baby-food-pouch-mini-meal-10+-months-170g-6026834,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6026834.jpg&w=640&q=90
9421901080082,Rafferty's Garden Baby Food Pouch Risoni Pasta & Garden Vegetables 10+ Months 170g,Woolworths,22022,291184,170g,https://www.woolworths.com.au/shop/productdetails/291184/rafferty-s-garden-baby-food-pouch-risoni-pasta-garden-vegetables-10-months,https://cdn0.woolworths.media/content/wowproductimages/large/291184.jpg
9421901088750,Rafferty's Garden Vanilla Custard 6 Months | 120g,coles,22022,8971943,120g,https://www.coles.com.au/product/rafferty's-garden-vanilla-custard-6-months-120g-8971943,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8971943.jpg&w=640&q=90
9421901088750,Rafferty's Garden Baby Food Pouch Vanilla Custard 6+ Months 120g,Woolworths,22022,742732,120g,https://www.woolworths.com.au/shop/productdetails/742732/rafferty-s-garden-baby-food-pouch-vanilla-custard-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/742732.jpg
9340156092001,Rafferty's Garden Banana & Mango No Added Sugar Custard 6+ Months | 120g,coles,22022,4159145,120g,https://www.coles.com.au/product/rafferty's-garden-banana-and-mango-no-added-sugar-custard-6+-months-120g-4159145,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4159145.jpg&w=640&q=90
9340156092001,Rafferty's Garden Banana & Mango Custard Baby Food Pouch Dessert 6+ Months 120g,Woolworths,22022,226222,120g,https://www.woolworths.com.au/shop/productdetails/226222/rafferty-s-garden-banana-mango-custard-baby-food-pouch-dessert-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/226222.jpg
9340156000501,Rafferty's Garden Banana Pear & Mango Porridge Baby Food Pouch 6+ Months | 120g,coles,22022,3609789,120g,https://www.coles.com.au/product/rafferty's-garden-banana-pear-and-mango-porridge-baby-food-pouch-6+-months-120g-3609789,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3609789.jpg&w=640&q=90
9340156000501,Rafferty's Garden Banana Pear & Mango Porridge Baby Food Pouch 6+ Months 120g,Woolworths,22022,498490,120g,https://www.woolworths.com.au/shop/productdetails/498490/rafferty-s-garden-banana-pear-mango-porridge-baby-food-pouch-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/498490.jpg
9340156006312,Rafferty's Garden Blueberry & Banana No Added Sugar Custard 6+ Months | 120g,coles,22022,5046632,120g,https://www.coles.com.au/product/rafferty's-garden-blueberry-and-banana-no-added-sugar-custard-6+-months-120g-5046632,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5046632.jpg&w=640&q=90
9340156006312,Rafferty's Garden Blueberry & Banana Custard Baby Food Pouch 6+ Months 120g,Woolworths,22022,306619,120g,https://www.woolworths.com.au/shop/productdetails/306619/rafferty-s-garden-blueberry-banana-custard-baby-food-pouch-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/306619.jpg
9340156006336,Rafferty's Garden Blueberry Banana & Pear Yoghurt Brekkie Baby Food Pouch 6+ Months | 120g,coles,22022,5046600,120g,https://www.coles.com.au/product/rafferty's-garden-blueberry-banana-and-pear-yoghurt-brekkie-baby-food-pouch-6+-months-120g-5046600,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5046600.jpg&w=640&q=90
9340156006336,"Rafferty's Garden Blueberry, Banana & Pear Pouch Yoghurt Brekkie Baby Food 120g",Woolworths,22022,307147,120g,https://www.woolworths.com.au/shop/productdetails/307147/rafferty-s-garden-blueberry-banana-pear-pouch-yoghurt-brekkie-baby-food,https://cdn0.woolworths.media/content/wowproductimages/large/307147.jpg
9340156016793,Rafferty's Garden Strawberry & Vanilla Custard Pouch 6+Months | 120g,coles,22022,6295676,120g,https://www.coles.com.au/product/rafferty's-garden-strawberry-and-vanilla-custard-pouch-6+months-120g-6295676,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6295676.jpg&w=640&q=90
9340156016793,Rafferty's Garden Strawberry & Vanilla Custard Baby Food Pouch 6+ Months 120g,Woolworths,22022,309249,120g,https://www.woolworths.com.au/shop/productdetails/309249/rafferty-s-garden-strawberry-vanilla-custard-baby-food-pouch-6-months,https://cdn0.woolworths.media/content/wowproductimages/large/309249.jpg
9403145302779,Only Organic Banana Raspberry & Vanilla Baby Food Po ... 120g,coles,22023,7761129,120g,https://www.coles.com.au/product/only-organic-banana-raspberry-and-vanilla-baby-food-pouch-8+-months-120g-7761129,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7761129.jpg&w=640&q=90
9403145302779,Only Organic 8 Months+ Banana Raspberry & Vanilla 120g,Woolworths,22023,333290,120G,https://www.woolworths.com.au/shop/productdetails/333290/only-organic-8-months-banana-raspberry-vanilla,https://cdn0.woolworths.media/content/wowproductimages/large/333290.jpg
