barcode,,name,shop,category_id,source_id,weight,source_url,image_url
9.31744E+12,,Yumi's Mexican Veggie Bites 200g,Woolworths,22156,6000027,200g,https://www.woolworths.com.au/shop/productdetails/6000027/yumi-s-mexican-veggie-bites,https://cdn0.woolworths.media/content/wowproductimages/large/6000027.jpg
9.31159E+12,,Primo Sliced T ... 80g,coles,24028,2814024,80g,https://www.coles.com.au/product/primo-sliced-turkey-breast-80g-2814024,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2814024.jpg&w=640&q=90
9.31159E+12,,Primo Turkey Breast Sliced 80g,Woolworths,24028,544697,80g,https://www.woolworths.com.au/shop/productdetails/544697/primo-turkey-breast-sliced,https://cdn0.woolworths.media/content/wowproductimages/large/544697.jpg
9.31018E+12,,Tibaldi Signature Australian Triple Smoked Ham Off The Bone | 120g,coles,24028,8144081,120g,https://www.coles.com.au/product/tibaldi-signature-australian-triple-smoked-ham-off-the-bone-120g-8144081,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8144081.jpg&w=640&q=90
9.31018E+12,,Tibaldi Signature Collection Triple Smoked Australian Ham 120g,Woolworths,24028,395929,120g,https://www.woolworths.com.au/shop/productdetails/395929/tibaldi-signature-collection-triple-smoked-australian-ham,https://cdn0.woolworths.media/content/wowproductimages/large/395929.jpg
9.31018E+12,,Tibaldi Signature Australian Wafer Thin Leg Ham | 120g,coles,24028,8167860,120g,https://www.coles.com.au/product/tibaldi-signature-australian-wafer-thin-leg-ham-120g-8167860,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8167860.jpg&w=640&q=90
9.31018E+12,,Tibaldi Signature Collection Wafer Thin Australian Leg Ham 120g,Woolworths,24028,394907,120g,https://www.woolworths.com.au/shop/productdetails/394907/tibaldi-signature-collection-wafer-thin-australian-leg-ham,https://cdn0.woolworths.media/content/wowproductimages/large/394907.jpg
9.31018E+12,,Tibaldi Ham Off  ... 120g,coles,24028,3575927,120g,https://www.coles.com.au/product/tibaldi-ham-off-the-bone-120g-3575927,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3575927.jpg&w=640&q=90
9.31018E+12,,Tibaldi Signature Ham Off The Bone 120g,Woolworths,24028,27566,120G,https://www.woolworths.com.au/shop/productdetails/27566/tibaldi-signature-ham-off-the-bone,https://cdn0.woolworths.media/content/wowproductimages/large/027566.jpg
9.33969E+12,,Coles Mild Hungarian Sa ... 200g,coles,24028,3269250,200g,https://www.coles.com.au/product/coles-mild-hungarian-salami-200g-3269250,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3269250.jpg&w=640&q=90
9.33969E+12,,Woolworths Mild Hungarian Salami 200g,Woolworths,24028,435086,200g,https://www.woolworths.com.au/shop/productdetails/435086/woolworths-mild-hungarian-salami,https://cdn0.woolworths.media/content/wowproductimages/large/435086.jpg
9.32194E+12,,British Sausage Co Smoked Back Bacon | 200g,coles,24028,2805362,200g,https://www.coles.com.au/product/british-sausage-co-smoked-back-bacon-200g-2805362,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2805362.jpg&w=640&q=90
9.32194E+12,,The British Sausage Co Raw Smoked Rindless Back Bacon 200g,Woolworths,24028,693435,200G,https://www.woolworths.com.au/shop/productdetails/693435/the-british-sausage-co-raw-smoked-rindless-back-bacon,https://cdn0.woolworths.media/content/wowproductimages/large/693435.jpg
9.31018E+12,,Tibaldi Signature Australian Triple Smoked Ham Off The Bone | 120g,coles,24029,8144081,120g,https://www.coles.com.au/product/tibaldi-signature-australian-triple-smoked-ham-off-the-bone-120g-8144081,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8144081.jpg&w=640&q=90
