barcode,name,shop,category_id,source_id,state,old_price,new_price,old_price_per_unit,new_price_per_unit,weight,source_url,image_url
9421907143088,Rascals Premium Nappies Size 4 (10-15Kg) | 72 Pack,coles,22015,3597384,NSW,3100,2150,43,30,72pack,https://www.coles.com.au/product/rascals-premium-nappies-size-4-(10-15kg)-72-pack-3597384,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3597384.jpg&w=640&q=90
9421907143026,Rascals Premium Nappies Size 3 (6-11Kg) | 44 Pack,coles,22015,3301138,NSW,1500,1750,34,40,44pack,https://www.coles.com.au/product/rascals-premium-nappies-size-3-(6-11kg)-44-pack-3301138,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3301138.jpg&w=640&q=90
9421907143002,Rascals Premium Nappies Size 1 (3-5Kg) | 54 Pack,coles,22015,3301150,NSW,1500,1750,28,32,54pack,https://www.coles.com.au/product/rascals-premium-nappies-size-1-(3-5kg)-54-pack-3301150,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3301150.jpg&w=640&q=90
9421907143019,Rascals Premium Nappies Size 2 (4-8Kg) | 48 Pack,coles,22015,3301149,NSW,1500,1750,31,36,48pack,https://www.coles.com.au/product/rascals-premium-nappies-size-2-(4-8kg)-48-pack-3301149,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3301149.jpg&w=640&q=90
9421907143033,Rascals Premium Nappies Size 4 (10-15Kg) | 36 Pack,coles,22015,3301127,NSW,1500,1750,42,49,36pack,https://www.coles.com.au/product/rascals-premium-nappies-size-4-(10-15kg)-36-pack-3301127,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3301127.jpg&w=640&q=90
9421907143095,Rascals Premium Nappies Size 5 (13-18Kg) | 64 Pack,coles,22015,3597395,NSW,3100,2150,48,34,64pack,https://www.coles.com.au/product/rascals-premium-nappies-size-5-(13-18kg)-64-pack-3597395,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3597395.jpg&w=640&q=90
9421907143101,Rascals Premium Nappies Size 3 (6-11kg) | 88 Pack,coles,22015,5487693,NSW,3100,2150,35,24,88pack,https://www.coles.com.au/product/rascals-premium-nappies-size-3-(6-11kg)-88-pack-5487693,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5487693.jpg&w=640&q=90
9421907143064,Rascals Premium Nappies Size 5 (13-18Kg) | 32 Pack,coles,22015,3301116,NSW,1500,1750,47,55,32pack,https://www.coles.com.au/product/rascals-premium-nappies-size-5-(13-18kg)-32-pack-3301116,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3301116.jpg&w=640&q=90
0797776959136,Gro To Super Softy Nourishing Body Lotion | 150mL,coles,22015,5488346,NSW,1700,1020,1133,680,150ml,https://www.coles.com.au/product/gro-to-super-softy-nourishing-body-lotion-150ml-5488346,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5488346.jpg&w=640&q=90
0797776622788,Gro To Sud Bud Gentle Bubble Bath | 400mL,coles,22015,5488211,NSW,1950,1170,488,293,400ml,https://www.coles.com.au/product/gro-to-sud-bud-gentle-bubble-bath-400ml-5488211,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5488211.jpg&w=640&q=90
