Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,SA,94,94,390,390,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,TAS,84,84,350,350,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,ACT,67,67,280,280,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9369999908478,Coles Packham Pears | approx. 240g,coles,22353,156258,NT,94,94,390,390,240geach,https://www.coles.com.au/product/coles-packham-pears-approx.-240g-each-156258,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F156258.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,VIC,590,590,74,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,NSW,500,590,63,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,QLD,500,500,63,63,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,WA,650,650,81,81,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,SA,590,590,74,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,TAS,590,590,74,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,ACT,500,500,63,63,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
9336515001388,Coles Green Kiwifruit Prepacked | 8 pack,coles,22362,1778560,NT,590,590,74,74,8pack,https://www.coles.com.au/product/coles-green-kiwifruit-prepacked-8-pack-1778560,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1778560.jpg&w=640&q=90
