Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9300601273775,Coles Celery Bunch | 1 Each,coles,22383,4845732,QLD,400,400,400,400,1each,https://www.coles.com.au/product/coles-celery-bunch-1-each-4845732,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4845732.jpg&w=640&q=90
9300601273775,Coles Celery Bunch | 1 Each,coles,22383,4845732,WA,400,400,400,400,1each,https://www.coles.com.au/product/coles-celery-bunch-1-each-4845732,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4845732.jpg&w=640&q=90
9300601273775,Coles Celery Bunch | 1 Each,coles,22383,4845732,SA,450,430,450,430,1each,https://www.coles.com.au/product/coles-celery-bunch-1-each-4845732,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4845732.jpg&w=640&q=90
9300601273775,Coles Celery Bunch | 1 Each,coles,22383,4845732,TAS,400,400,400,400,1each,https://www.coles.com.au/product/coles-celery-bunch-1-each-4845732,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4845732.jpg&w=640&q=90
9300601273775,Coles Celery Bunch | 1 Each,coles,22383,4845732,ACT,450,450,450,450,1each,https://www.coles.com.au/product/coles-celery-bunch-1-each-4845732,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4845732.jpg&w=640&q=90
9300601273775,Coles Celery Bunch | 1 Each,coles,22383,4845732,NT,450,430,450,430,1each,https://www.coles.com.au/product/coles-celery-bunch-1-each-4845732,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4845732.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,NSW,,45,,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,VIC,45,45,450,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,QLD,,45,,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,SA,,45,,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,TAS,,45,,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,ACT,,45,,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
9369998129775,Coles Imperial Mandarins | approx. 100g,coles,22356,409750,NT,,45,,450,100g,https://www.coles.com.au/product/coles-imperial-mandarins-approx.-100g-409750,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F409750.jpg&w=640&q=90
