Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9355449000571,Bunjie Baby Gentle Shampoo 500mL,Woolworths,23821,6022170,NSW,2000,1200,400,240,500mL,https://www.woolworths.com.au/shop/productdetails/6022170/bunjie-baby-gentle-shampoo,https://cdn0.woolworths.media/content/wowproductimages/large/6022170.jpg
9421027313064,Naturely Nourish Baby Bedtime Bath 275mL,Woolworths,23821,4214,NSW,1000,600,364,218,275mL,https://www.woolworths.com.au/shop/productdetails/4214/naturely-nourish-baby-bedtime-bath,https://cdn0.woolworths.media/content/wowproductimages/large/004214.jpg
9337824003360,Little Bellies Organic Berry & Apple Softcorn 30g,Woolworths,22025,175720,NSW,380,475,1267,1583,30g,https://www.woolworths.com.au/shop/productdetails/175720/little-bellies-organic-berry-apple-softcorn,https://cdn0.woolworths.media/content/wowproductimages/large/175720.jpg
9340156037637,Rafferty's Garden Happy Tummies Apple & Strawberry Puffed Rice Bars 6 pack,Woolworths,22025,6022248,NSW,500,550,694,764,6 pack,https://www.woolworths.com.au/shop/productdetails/6022248/rafferty-s-garden-happy-tummies-apple-strawberry-puffed-rice-bars,https://cdn0.woolworths.media/content/wowproductimages/large/6022248.jpg
9340156037644,Rafferty's Garden Happy Tummies Blueberry Puffed Rice Bars 6 pack,Woolworths,22025,6022776,NSW,500,550,694,764,6 pack,https://www.woolworths.com.au/shop/productdetails/6022776/rafferty-s-garden-happy-tummies-blueberry-puffed-rice-bars,https://cdn0.woolworths.media/content/wowproductimages/large/6022776.jpg
9340156040897,Rafferty's Garden Smiley Puffs Banana 30g,Woolworths,22025,6023799,NSW,400,250,1333,833,30g,https://www.woolworths.com.au/shop/productdetails/6023799/rafferty-s-garden-smiley-puffs-banana,https://cdn0.woolworths.media/content/wowproductimages/large/6023799.jpg
9340156040880,Rafferty's Garden Smiley Puffs Strawberry 30g,Woolworths,22025,6023392,NSW,400,250,1333,833,30g,https://www.woolworths.com.au/shop/productdetails/6023392/rafferty-s-garden-smiley-puffs-strawberry,https://cdn0.woolworths.media/content/wowproductimages/large/6023392.jpg
9349763001468,Snacktacular Crispy Fruit Chews Apple & Raspberry 12g,Woolworths,22025,6023814,NSW,190,95,1583,792,12g,https://www.woolworths.com.au/shop/productdetails/6023814/snacktacular-crispy-fruit-chews-apple-raspberry,https://cdn0.woolworths.media/content/wowproductimages/large/6023814.jpg
9349763001451,Snacktacular Crispy Fruit Chews Apple & Strawberry 12g,Woolworths,22025,6023770,NSW,190,95,1583,792,12g,https://www.woolworths.com.au/shop/productdetails/6023770/snacktacular-crispy-fruit-chews-apple-strawberry,https://cdn0.woolworths.media/content/wowproductimages/large/6023770.jpg
9349763000300,Snacktacular Fruit Melts Banana & Blueberry 8g,Woolworths,22025,305108,NSW,190,95,2375,1188,8g,https://www.woolworths.com.au/shop/productdetails/305108/snacktacular-fruit-melts-banana-blueberry,https://cdn0.woolworths.media/content/wowproductimages/large/305108.jpg
9349763000294,Snacktacular Fruit Melts Banana & Strawberry 8g,Woolworths,22025,304350,NSW,190,95,2375,1188,8g,https://www.woolworths.com.au/shop/productdetails/304350/snacktacular-fruit-melts-banana-strawberry,https://cdn0.woolworths.media/content/wowproductimages/large/304350.jpg
9332045003267,Bellamy's Organic Infant Formula Stage 1 (0-6m) 800g,Woolworths,23831,6021415,NSW,2970,3300,371,413,800g,https://www.woolworths.com.au/shop/productdetails/6021415/bellamy-s-organic-infant-formula-stage-1-0-6m-,https://cdn0.woolworths.media/content/wowproductimages/large/6021415.jpg
