Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369998238545,Coles Large Grapefruit Ruby Red | approx. 375g,coles,22356,5323153,TAS,146,146,390,390,375geach,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-375g-each-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 375g,coles,22356,5323153,ACT,146,146,390,390,375geach,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-375g-each-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 375g,coles,22356,5323153,NT,,146,,390,375geach,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-375g-each-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,VIC,350,350,350,350,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,NSW,350,230,350,230,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,QLD,230,230,230,230,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,WA,400,400,400,400,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,SA,350,350,350,350,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,ACT,230,230,230,230,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9300601374373,Fresh Half Honeydew Melon | 1 each,coles,22359,5536981,NT,,350,,350,1each,https://www.coles.com.au/product/fresh-half-honeydew-melon-1-each-5536981,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5536981.jpg&w=640&q=90
9369998159154,Coles Organic Avocados | 1 each,coles,22380,5055611,VIC,300,300,300,300,1each,https://www.coles.com.au/product/coles-organic-avocados-1-each-5055611,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5055611.jpg&w=640&q=90
9369998159154,Coles Organic Avocados | 1 each,coles,22380,5055611,NSW,300,300,300,300,1each,https://www.coles.com.au/product/coles-organic-avocados-1-each-5055611,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5055611.jpg&w=640&q=90
