barcode,name,shop,category_id,source_id,weight,source_url,image_url
9.34016E+12,Raffertys Garden Vegetable Bolognese 12 Months+ | 200g,coles,22025,8404852,200g,https://www.coles.com.au/product/raffertys-garden-vegetable-bolognese-12-months+-200g-8404852,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8404852.jpg&w=640&q=90
9.34016E+12,Rafferty's Garden Vegetable Bolognese 200g,Woolworths,22025,909087,200g,https://www.woolworths.com.au/shop/productdetails/909087/rafferty-s-garden-vegetable-bolognese,https://cdn0.woolworths.media/content/wowproductimages/large/909087.jpg
9.40315E+12,Only Organic Wild Rice Risotto & Spring Lamb 6+ Months | 120g,coles,22026,8989086,120g,https://www.coles.com.au/product/only-organic-wild-rice-risotto-and-spring-lamb-6+-months-120g-8989086,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8989086.jpg&w=640&q=90
9.40315E+12,Only Organic Wild Rice Risotto Spring Lamb Wild Rice Risotto Spring Lamb 120g,Woolworths,22026,710423,120G,https://www.woolworths.com.au/shop/productdetails/710423/only-organic-wild-rice-risotto-spring-lamb-wild-rice-risotto-spring-lamb,https://cdn0.woolworths.media/content/wowproductimages/large/710423.jpg
7.61304E+12,Nestle NAN Supremepro 1 Infant Formula For Newborns Suitable From Birth | 800g,coles,23831,4161668,800g,https://www.coles.com.au/product/nestle-nan-supremepro-1-infant-formula-for-newborns-suitable-from-birth-800g-4161668,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4161668.jpg&w=640&q=90
7.61304E+12,Nestle NAN SUPREMEpro 1 From Birth Premium Starter Baby Formula 800g,Woolworths,23831,155532,800g,https://www.woolworths.com.au/shop/productdetails/155532/nestle-nan-supremepro-1-from-birth-premium-starter-baby-formula,https://cdn0.woolworths.media/content/wowproductimages/large/155532.jpg
5.09951E+12,WaterWipes Fragrance Free Sensitive Skin 540 Baby Wipes | 540 pack,coles,22059,5332551,540pack,https://www.coles.com.au/product/waterwipes-fragrance-free-sensitive-skin-540-baby-wipes-540-pack-5332551,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5332551.jpg&w=640&q=90
5.09951E+12,Waterwipes Fragrance Free Sensitive Skin Baby Wipes 60 x9 Pack,Woolworths,22059,129717,60 x9 Pack,https://www.woolworths.com.au/shop/productdetails/129717/waterwipes-fragrance-free-sensitive-skin-baby-wipes,https://cdn0.woolworths.media/content/wowproductimages/large/129717.jpg
9.30066E+12,Yoplait Petit Miam Mango Yoghurt Pouch | 70g,coles,22159,3536368,70g,https://www.coles.com.au/product/yoplait-petit-miam-mango-yoghurt-pouch-70g-3536368,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3536368.jpg&w=640&q=90
9.30066E+12,Yoplait Petit Miam Mango Pouch 70g,Woolworths,22159,805964,70g,https://www.woolworths.com.au/shop/productdetails/805964/yoplait-petit-miam-mango-pouch,https://cdn0.woolworths.media/content/wowproductimages/large/805964.jpg
9.34496E+12,Danone Yopro Perform Yoghurt Pouch Mixed Berries | 175g,coles,22161,8423507,175g,https://www.coles.com.au/product/danone-yopro-perform-yoghurt-pouch-mixed-berries-175g-8423507,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8423507.jpg&w=640&q=90
9.34496E+12,YoPRO Perform 20g Protein Mixed Berries Yoghurt Pouch 175g,Woolworths,22161,105785,175g,https://www.woolworths.com.au/shop/productdetails/105785/yopro-perform-20g-protein-mixed-berries-yoghurt-pouch,https://cdn0.woolworths.media/content/wowproductimages/large/105785.jpg
9.30066E+12,Farmers Union No Added Sugar Kids Yogurt Pouch Blueberry | 130g,coles,22161,6600805,130g,https://www.coles.com.au/product/farmers-union-no-added-sugar-kids-yogurt-pouch-blueberry-130g-6600805,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6600805.jpg&w=640&q=90
9.30066E+12,Farmers Union Greek Style Kids Yoghurt Pouch Blueberry No Added Sugar 130g,Woolworths,22161,6007775,130g,https://www.woolworths.com.au/shop/productdetails/6007775/farmers-union-greek-style-kids-yoghurt-pouch-blueberry-no-added-sugar,https://cdn0.woolworths.media/content/wowproductimages/large/6007775.jpg
9.30066E+12,Farmers Union No Added Sugar Kids Yogurt Pouch Strawberry | 130g,coles,22161,6600689,130g,https://www.coles.com.au/product/farmers-union-no-added-sugar-kids-yogurt-pouch-strawberry-130g-6600689,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6600689.jpg&w=640&q=90
9.30066E+12,Farmers Union Greek Style Kids Yoghurt Pouch Strawberry No Added Sugar 130g,Woolworths,22161,6006928,130g,https://www.woolworths.com.au/shop/productdetails/6006928/farmers-union-greek-style-kids-yoghurt-pouch-strawberry-no-added-sugar,https://cdn0.woolworths.media/content/wowproductimages/large/6006928.jpg
9.30066E+12,Farmers Union No Added Sugar Kids Yogurt Pouch Vanilla | 130g,coles,22161,6600678,130g,https://www.coles.com.au/product/farmers-union-no-added-sugar-kids-yogurt-pouch-vanilla-130g-6600678,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6600678.jpg&w=640&q=90
9.30066E+12,Farmers Union Greek Style Kids Yoghurt Pouch Vanilla No Added Sugar 130g,Woolworths,22161,6007860,130g,https://www.woolworths.com.au/shop/productdetails/6007860/farmers-union-greek-style-kids-yoghurt-pouch-vanilla-no-added-sugar,https://cdn0.woolworths.media/content/wowproductimages/large/6007860.jpg
9.31035E+12,Jalna Lactose Free Yoghurt Greek Natural | 1kg,coles,22161,3816874,1kg,https://www.coles.com.au/product/jalna-lactose-free-yoghurt-greek-natural-1kg-3816874,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3816874.jpg&w=640&q=90
9.31035E+12,Jalna Pot Set Lactose Free Greek Yoghurt 1kg,Woolworths,22161,169823,1kg,https://www.woolworths.com.au/shop/productdetails/169823/jalna-pot-set-lactose-free-greek-yoghurt,https://cdn0.woolworths.media/content/wowproductimages/large/169823.jpg
9.34496E+12,Liddells Yoghurt Vanilla Bean | 700g,coles,22161,4339533,700g,https://www.coles.com.au/product/liddells-yoghurt-vanilla-bean-700g-4339533,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4339533.jpg&w=640&q=90
9.34496E+12,Liddells Lactose Free Probiotic Yoghurt Vanilla Bean 700g,Woolworths,22161,167407,700g,https://www.woolworths.com.au/shop/productdetails/167407/liddells-lactose-free-probiotic-yoghurt-vanilla-bean,https://cdn0.woolworths.media/content/wowproductimages/large/167407.jpg
9.31004E+12,Pauls Kids Yoghurt Pouch Mango | 70g,coles,22161,7657648,70g,https://www.coles.com.au/product/pauls-kids-yoghurt-pouch-mango-70g-7657648,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7657648.jpg&w=640&q=90
9.31004E+12,Pauls Bluey Yoghurt Pouch Mango 70g,Woolworths,22161,503952,70g,https://www.woolworths.com.au/shop/productdetails/503952/pauls-bluey-yoghurt-pouch-mango,https://cdn0.woolworths.media/content/wowproductimages/large/503952.jpg
9.31004E+12,Pauls Kids Vanilla Yoghurt | 70g,coles,22161,3992764,70g,https://www.coles.com.au/product/pauls-kids-vanilla-yoghurt-70g-3992764,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F3%2F3992764.jpg&w=640&q=90
