barcode,,name,shop,category_id,source_id,weight,source_url,image_url
8.71E+12,,Viennetta Vanilla Frozen Dessert Cake 650ml,Woolworths,22337,684415,650ml,https://www.woolworths.com.au/shop/productdetails/684415/viennetta-vanilla-frozen-dessert-cake,https://cdn0.woolworths.media/content/wowproductimages/large/684415.jpg
2.65E+11,,Coles Green Asparagus | 1 each,coles,22388,4838737,1each,https://www.coles.com.au/product/coles-green-asparagus-1-each-4838737,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4838737.jpg&w=640&q=90
2.65E+11,,Woolworths Asparagus Green Bunch Each,Woolworths,22388,132538,Each,https://www.woolworths.com.au/shop/productdetails/132538/woolworths-asparagus-green-bunch,https://cdn0.woolworths.media/content/wowproductimages/large/132538.jpg
34533365008,,Manicare Gold Tip Slant Tweezer | 1 pack,coles,23853,2371739,1pack,https://www.coles.com.au/product/manicare-gold-tip-slant-tweezer-1-pack-2371739,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2371739.jpg&w=640&q=90
34533365008,1160 ||1160 1EA,Manicare Slant Tweezer Gold Tipped Each,Woolworths,23853,566745,Each,https://www.woolworths.com.au/shop/productdetails/566745/manicare-slant-tweezer-gold-tipped,https://cdn0.woolworths.media/content/wowproductimages/large/566745.jpg
5.06E+12,,Scott Cornwall Decolour Hair Colour Remover | 1 pack,coles,23903,2666700,1pack,https://www.coles.com.au/product/scott-cornwall-decolour-hair-colour-remover-1-pack-2666700,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2666700.jpg&w=640&q=90
5.06E+12,,Scott Cornwall Hair Colour Remover Each,Woolworths,23903,119095,Each,https://www.woolworths.com.au/shop/productdetails/119095/scott-cornwall-hair-colour-remover,https://cdn0.woolworths.media/content/wowproductimages/large/119095.jpg
5.01E+12,,Pro:Voke Touch Of Silver Colour Care Conditioner | 400mL,coles,23904,2666674,400ml,https://www.coles.com.au/product/pro:voke-touch-of-silver-colour-care-conditioner-400ml-2666674,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2666674.jpg&w=640&q=90
5.01E+12,1000 ||250 100ML,Pro:Voke Touch Of Silver Daily Nourish Purple Conditioner 400mL,Woolworths,23904,857438,400mL,https://www.woolworths.com.au/shop/productdetails/857438/pro-voke-touch-of-silver-daily-nourish-purple-conditioner,https://cdn0.woolworths.media/content/wowproductimages/large/857438.jpg
5.01E+12,,Provoke Touch Of Silver Brighten & Repair Con ... 200mL,coles,23904,2666619,200ml,https://www.coles.com.au/product/provoke-touch-of-silver-brighten-and-repair-conditioner-200ml-2666619,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F2%2F2666619.jpg&w=640&q=90
