Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,VIC,520,520,520,520,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,NSW,520,520,520,520,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,SA,,490,,490,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,ACT,520,520,520,520,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9334536000274,Coles Vegetable Starter Pack | 1kg,coles,22383,5108751,NT,490,490,490,490,1kg,https://www.coles.com.au/product/coles-vegetable-starter-pack-1kg-5108751,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5108751.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,VIC,170,170,170,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,NSW,170,170,170,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,QLD,170,170,170,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,WA,170,170,170,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
9323119000244,Coles Gold Kiwifruit | 1 Each,coles,22362,6979376,SA,,170,,170,1each,https://www.coles.com.au/product/coles-gold-kiwifruit-1-each-6979376,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F6%2F6979376.jpg&w=640&q=90
